Entidad,Nombre_Banco,Periodo,Activo,Disponibilidades,Disponibilidades en pesos,Caja $,BCRA $,Disponibilidades en ME,Caja ME,BCRA ME,Titulos públicos y privados,Titulos públicos y privados en pesos,Titulos públicos y privados en ME,Letras y Notas BCRA,Prestamos,Prestamos totales,Volumen de Negocio,Prestamos en pesos,Prestamos en ME,Prestamos sector publico no fcro pesos,Prestamos sector publico no fcro ME,Prestamos sector privado no fcro pesos,Prestamos privado no fcro ME,OCIF,Prestamos Comerciales,Propiedad Planta y Equipo,Créditos diversos,Participación en otras sociedades,Activos Intangibles,PPI Deudoras,Pasivo,Depositos,Depositos en pesos,Depositos a la vista $,Depositos a plazo $,Depositos en ME,Depositos a la vista en ME,Depositos a plazo ME,OOIF,PN,Capital social,PN FINAL,Reserva Legal,Previsiones,Ingresos financieros,Egresos financieros,Ingresos por servicios,Egresos por servicios,Gastos de Administracion,Cargo por Incobrabilidad,Utilidades diversas,Perdidas diversas,Gastos de Personal,Utilidad neta
247,BANCO ROELA S.A.,202411,102922260,1389674,152006,129807,22199,1237668,453202,783280,76368512,71790052,4578460,0,1246504,1246504,34162681,1231982,14522,0,0,1231982,14522,2473317,772796,13380399,7054167,0,0,494990,46241777,32960316,31853146,26761982,127357,1107170,1107165,5,1181295,48862691,20000,56680483,13226750,-32693,46857502,4726456,11497446,1348878,11303376,229591,70945,3095668,7657308,7817792
247,BANCO ROELA S.A.,202412,109243044,1372047,104497,72581,31916,1267550,472688,793467,80882683,76206770,4675913,0,1620404,1620404,37070700,1601438,18966,0,0,1601438,18966,2493397,977265,13706206,8133203,0,0,522489,50617411,35492860,34339679,30013881,283126,1153181,1153176,5,1868568,50183989,20000,58625633,13584415,-38159,50660394,5285555,13281675,1518283,12994600,287427,159119,3195585,8793272,8441644
247,BANCO ROELA S.A.,202501,111927230,1723592,51289,27215,24074,1672303,488598,1180583,83739468,79072875,4666593,0,2032403,2032403,38673701,2015100,17303,0,0,2015100,17303,2621366,1215832,13972942,6681692,0,0,632439,51004277,36670176,35043436,29648154,186100,1626740,1626734,5,1352959,59921871,20000,60922953,13884773,-57795,2704628,370744,1398052,143883,1151899,56513,193989,692,731284,1001082
247,BANCO ROELA S.A.,202502,121023340,1738661,112229,89557,22672,1626432,497435,1126867,90315241,86268761,4046480,0,2692181,2692181,44296631,2673503,18678,0,0,2673503,18678,2496719,1838493,14398520,8010690,0,0,836069,58050999,41623487,40041624,33726776,280377,1581863,1581858,5,1468699,61360973,20000,62972341,14218234,-71350,5194137,721733,2779315,299569,2410055,93329,213706,1502,1463449,1611368
254,BANCO MARIVA S.A.,201502,2931609,179162,91173,2995,88178,87989,2673,62917,342127,34664,307463,0,1031067,1031067,2394014,1009040,22027,6712,0,989752,22027,1191995,824205,22016,30673,108883,1087,20,2657253,1382548,794664,308896,187038,587884,51912,528643,1250681,267132,67063,274356,47559,-25119,54487,33748,4181,1554,23143,9057,16599,541,19607,7224
254,BANCO MARIVA S.A.,201503,2864791,130786,22536,5783,16753,108250,5692,59572,508961,177030,331931,0,1036884,1036884,2568377,1006908,29976,6410,0,987235,29976,987701,831427,22086,38032,114061,1039,1,2585296,1532496,865974,323445,228664,666522,44754,625916,1030079,267132,67063,279495,47559,-27025,85136,49174,6260,2887,36324,13323,23936,1261,30424,12363
254,BANCO MARIVA S.A.,201504,3421560,177890,84474,3091,81383,93416,3659,44827,611299,167820,443479,0,1035842,1035842,2681953,1005422,30420,6098,0,986312,30420,1402157,822838,22279,28568,113105,859,2,3134010,1636963,1023220,342982,276343,613743,27140,605930,1474055,267131,67063,287550,65647,-26943,119779,65579,9317,3375,48056,14928,24781,1520,40307,20419
254,BANCO MARIVA S.A.,201505,2812727,210073,91723,5600,86123,118350,6800,77271,472239,132022,340217,0,1086419,1086419,2635474,1046637,39782,5814,0,1023913,39782,844435,853087,22134,36516,110686,838,3,2525829,1551705,984808,360198,238734,566897,50738,516830,959762,267131,67063,286898,65647,-27297,155109,86486,11634,4315,59932,17237,24610,1795,50080,19767
254,BANCO MARIVA S.A.,201506,3071522,199338,86176,2355,83821,113162,10410,61054,434279,107482,326797,0,1099322,1099322,2636958,1058924,40398,5504,0,1026488,40398,1143186,883449,22831,25360,116607,816,2,2802821,1569563,996418,324613,294080,573145,47090,494399,1216428,267131,67063,268701,65647,-27420,172479,107660,14441,5162,82745,20990,33255,2048,70800,1570
254,BANCO MARIVA S.A.,201507,2943655,174795,69172,4155,65017,105623,10558,57284,431100,156748,274352,0,1072676,1072676,2608989,1033236,39440,5199,0,1000735,39440,1055456,853966,23422,43088,113100,798,1,2678130,1524898,942353,291725,334460,582545,51862,558335,1140984,267131,67063,265525,65647,-27729,202924,124229,16982,6453,96969,22276,30996,2581,82650,-1606
